trade_date,stock_id,stock_name,is_attention_stock,attention_reason,is_disposition_stock,disposition_start_date,disposition_end_date,disposition_reason
115-05-18,050328,華固凱基56購01,True,最近六個營業日累積收盤價漲幅達36.80%﹝第一款﹞。,False,,,
115-05-18,059020,健策永豐59購01,True,最近六個營業日累積收盤價跌幅達35.73%﹝第一款﹞。,False,,,
115-05-18,059630,永光統一73購01,True,最近六個營業日累積收盤價跌幅達37.21%﹝第一款﹞。,False,,,
115-05-18,060684,永光永豐5C購01,True,最近六個營業日累積收盤價跌幅達35.95%﹝第一款﹞。,False,,,
115-05-18,2308,台達電,True,六個營業日起迄兩個營業日收盤價價差達225.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,False,,,
115-05-18,2327,國巨*,True,最近六個營業日累積收盤價漲幅達26.48%。且六個營業日起迄兩個營業日收盤價價差達109.50元﹝第一款﹞。,False,,,
115-05-18,2481,強茂,True,最近六個營業日累積收盤價漲幅達27.23%。且05月18日之週轉率為11.22%﹝第四款﹞。,False,,,
2026-05-14,2492,華新科,True,最近六個營業日累積收盤價漲幅達35.16%﹝第一款﹞。,True,2026-05-15,2026-05-28,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十五日起至一百十五年五月二十八日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
115-05-18,2945,三商家購,True,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為8.09倍。當日之成交量較最近六十個營業日之平均成交量放大為 47.54倍<font color='#FF0000'>﹝第九款﹞</font>。,False,,,
115-05-18,3008,大立光,True,最近六個營業日累積收盤價漲幅達26.20%。且六個營業日起迄兩個營業日收盤價價差達745.00元﹝第一款﹞。,False,,,
115-05-18,3048,益登,True,最近六個營業日累積收盤價漲幅達31.32%。且05月18日之成交量為最近六十個營業日日平均成交量之8.13倍﹝第三款﹞。且05月18日之週轉率為21.46%﹝第四款﹞。,False,,,
115-05-18,3090,日電貿,True,最近六個營業日累積收盤價漲幅達27.30%。且05月18日之成交量為最近六十個營業日日平均成交量之5.37倍﹝第三款﹞。且05月18日之週轉率為12.78%﹝第四款﹞。,False,,,
115-05-18,3481,群創,True,最近六個營業日累積收盤價漲幅達28.96%。且05月18日之週轉率為11.87%﹝第四款﹞。最近九十個營業日起迄兩個營業日之收盤價漲幅達186.66% ﹝第二款﹞。,False,,,
2026-05-12,3653,健策,True,六個營業日起迄兩個營業日收盤價價差達745.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,True,2026-05-13,2026-05-26,"連續三次；第二次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年五月十三日起至一百十五年五月二十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
115-05-18,3661,世芯-KY,True,六個營業日起迄兩個營業日收盤價價差達785.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,False,,,
115-05-18,3665,貿聯-KY,True,最近六個營業日累積收盤價跌幅達28.96%。且六個營業日起迄兩個營業日收盤價價差達880.00元﹝第一款﹞。,False,,,
115-05-18,3712,永崴投控,True,最近六個營業日累積收盤價跌幅達29.41%。且05月18日之成交量為最近六十個營業日日平均成交量之7.50倍﹝第三款﹞。,False,,,
115-05-18,4722,國精化,True,05月18日之本益比為 151.18，且股價淨值比為8.37。另當日週轉率為 5.60%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,False,,,
115-05-18,6215,和椿,True,最近六個營業日之累積週轉率為71.43%。且05月18日之週轉率為25.09%<font color='#FF0000'>﹝第十款﹞</font>。,False,,,
115-05-18,6269,台郡,True,05月15日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率12.60%，且05月15日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.95倍<font color='#FF0000'>﹝第十二款﹞</font>。,False,,,
115-05-18,6449,鈺邦,True,最近六個營業日累積收盤價漲幅達41.14%。且六個營業日起迄兩個營業日收盤價價差達90.50 元﹝第一款﹞。且05月18日之成交量為最近六十個營業日日平均成交量之7.97倍﹝第三款﹞。且05月18日之週轉率為11.28%﹝第四款﹞。,False,,,
115-05-18,6531,愛普*,True,最近六個營業日累積收盤價漲幅達27.08%。且六個營業日起迄兩個營業日收盤價價差達173.00元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達157.95% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達179.90% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達175.48% ﹝第二款﹞。,False,,,
2026-05-04,6658,聯策,True,最近三十個營業日起迄兩個營業日之收盤價漲幅達178.08% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達269.76% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達270.43% ﹝第二款﹞。,True,2026-05-05,2026-05-18,"連續三次；第二次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年五月五日起至一百十五年五月十八日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
115-05-18,6806,森崴能源,True,最近六個營業日累積收盤價跌幅達40.04%﹝第一款﹞。,False,,,
2026-05-14,6831,邁科,True,最近六個營業日累積收盤價漲幅達31.59%。且六個營業日起迄兩個營業日收盤價價差達138.00元﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達181.07% ﹝第二款﹞。,True,2026-05-15,2026-05-28,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十五日起至一百十五年五月二十八日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。"
115-05-18,6924,榮惠-KY創,True,最近六個營業日累積收盤價漲幅達45.57%﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達160.32% ﹝第二款﹞。,False,,,
115-05-18,7610,聯友金屬-創,True,最近六個營業日累積收盤價漲幅達27.49%。且六個營業日起迄兩個營業日收盤價價差達200.00元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達172.48% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達327.38% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達683.26% ﹝第二款﹞。,False,,,
115-05-18,8021,尖點,True,05月18日之本益比為 114.76，且股價淨值比為10.80 。另當日週轉率為 8.15%，暨港麥格理證券商成交買進金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為14.85%。單一投資人當日賣出該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,False,,,
115-05-18,8028,昇陽半導體,True,05月18日之本益比為61.62，且股價淨值比為9.20。另當日週轉率為12.96%，單一投資人當日賣出該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上﹝第六款﹞。,False,,,
115-05-18,8210,勤誠,True,六個營業日起迄兩個營業日收盤價價差達175.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,False,,,
115-05-18,8374,羅昇,True,最近六個營業日累積收盤價漲幅達25.28%。且05月18日之成交量為最近六十個營業日日平均成交量之8.25倍﹝第三款﹞。,False,,,
2026-05-06,1597,直得,False,,True,2026-05-07,2026-05-20,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
2026-05-12,1809,中釉,False,,True,2026-05-13,2026-05-26,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十三日起至一百十五年五月二十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
2026-05-12,2059,川湖,False,,True,2026-05-13,2026-05-26,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十三日起至一百十五年五月二十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
2026-05-06,2233,宇隆,False,,True,2026-05-07,2026-05-20,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
2026-05-07,2426,鼎元,False,,True,2026-05-08,2026-05-21,"連續三次；第二次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年五月八日起至一百十五年五月二十一日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
2026-05-06,2454,聯發科,False,,True,2026-05-07,2026-05-20,"連續三次；第一次處置；１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。"
