stock_id,stock_name,financial_quarter,eps,eps_yoy,roe,gross_margin,operating_margin,net_margin,debt_ratio,operating_cash_flow,financial_source,financial_source_status,financial_period
1101,台泥,115Q1,0.1,,,18.7179,8.4183,3.6322,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1102,亞泥,115Q1,0.56,,,13.002,7.9853,12.0793,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1103,嘉泥,115Q1,0.08,,,21.1488,2.2941,7.456,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1104,環泥,115Q1,0.41,,,27.9496,16.244,16.5134,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1108,幸福,115Q1,0.17,,,16.1351,9.0659,7.0244,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1109,信大,115Q1,0.01,,,6.2325,-1.8643,-1.8422,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1110,東泥,115Q1,0.05,,,14.3307,7.5638,4.2923,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1201,味全,115Q1,0.2,,,27.4098,0.7907,2.0346,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1203,味王,115Q1,0.49,,,34.4677,15.75,13.6553,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1210,大成,115Q1,0.94,,,14.066,4.3897,3.6021,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1213,大飲,115Q1,-0.37,,,-2.0017,-16.276,-27.3809,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1215,卜蜂,115Q1,1.26,,,17.7454,7.9924,5.2,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1216,統一,115Q1,1.15,,,33.7825,5.8583,5.5788,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1217,愛之味,115Q1,-0.13,,,26.3512,1.8313,-5.4876,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1218,泰山,115Q1,0.32,,,17.1426,6.3107,5.9397,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1219,福壽,115Q1,0.11,,,7.8079,0.0788,-0.1039,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1220,台榮,115Q1,-0.17,,,7.7887,-3.8453,-3.5787,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1225,福懋油,115Q1,0.44,,,9.2974,4.4491,3.8821,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1227,佳格,115Q1,0.52,,,23.4388,6.874,6.182,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1229,聯華,115Q1,0.55,,,23.3172,9.6529,41.6296,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1231,聯華食,115Q1,1.0,,,21.6619,9.514,8.8709,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1232,大統益,115Q1,2.33,,,13.69,8.1443,6.6136,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1233,天仁,115Q1,0.34,,,61.077,6.396,5.351,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1234,黑松,115Q1,0.29,,,23.9453,2.0063,4.9733,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1235,興泰,115Q1,-0.54,,,28.5484,6.8679,-213.4882,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1236,宏亞,115Q1,0.23,,,28.0907,4.6111,3.6622,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1256,鮮活果汁-KY,115Q1,3.24,,,30.3866,13.2499,10.1595,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1301,台塑,115Q1,0.51,,,3.7048,-3.1007,7.7852,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1303,南亞,115Q1,1.8,,,11.9375,5.4549,21.393,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1304,台聚,115Q1,-0.41,,,2.857,-5.8532,-9.0415,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1305,華夏,115Q1,-0.21,,,1.9688,-6.5653,-5.0547,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1307,三芳,115Q1,0.97,,,32.5925,13.9042,13.0737,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1308,亞聚,115Q1,-0.2,,,5.6617,1.0389,-9.2352,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1309,台達化,115Q1,-0.53,,,-1.7564,-8.2569,-6.3665,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1310,台苯,115Q1,-0.94,,,8.9402,7.1196,-22.6873,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1312,國喬,115Q1,-1.17,,,-1.727,-11.8929,-17.6689,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1313,聯成,115Q1,0.08,,,6.2099,1.3526,0.7092,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1314,中石化,115Q1,-0.07,,,-7.1237,-15.817,-6.5318,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1315,達新,115Q1,0.15,,,10.9962,-10.1377,3.6326,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
