stock_id,stock_name,market,industry_main,industry_sub,source,updated_at,confidence,fallback_used
00876,元大全球5G,ETF,ETF,全球5G ETF,manual,2026-05-28,,
00901,永豐智能車供應鏈,ETF,ETF,智能車供應鏈 ETF,manual,2026-05-28,,
00910,第一金太空衛星,ETF,ETF,太空衛星 ETF,manual,2026-05-28,,
00911,兆豐洲際半導體,ETF,ETF,全球半導體 ETF,manual,2026-05-28,,
00913,兆豐台灣晶圓製造,ETF,ETF,晶圓製造 ETF,manual,2026-05-28,,
00923,群益台ESG低碳50,ETF,ETF,ESG低碳 ETF,manual,2026-05-28,,
00927,群益半導體收益,ETF,ETF,半導體收益 ETF,manual,2026-05-28,,
00930,永豐ESG低碳高息,ETF,ETF,ESG低碳高息 ETF,manual,2026-05-28,,
00935,野村臺灣新科技50,ETF,ETF,臺灣新科技 ETF,manual,2026-05-28,,
00991A,主動復華未來50,ETF,ETF,主動式臺股 ETF,manual,2026-05-28,,
1256,鮮活果汁-KY,TWSE,食品工業,食品工業,manual,2026-05-28,,
1409,新纖,TWSE,紡織纖維,紡織纖維,manual,2026-05-28,,
1513,中興電,TWSE,電機機械,電機機械,manual,2026-05-28,,
1530,亞崴,TWSE,電機機械,電機機械,manual,2026-05-28,,
1533,車王電,TWSE,汽車工業,汽車工業,manual,2026-05-28,,
1563,巧新,TWSE,汽車工業,汽車工業,manual,2026-05-28,,
1568,倉佑,TWSE,汽車工業,汽車工業,manual,2026-05-28,,
1583,程泰,TWSE,電機機械,電機機械,manual,2026-05-28,,
1810,和成,TWSE,玻璃陶瓷,玻璃陶瓷,manual,2026-05-28,,
2030,彰源,TWSE,鋼鐵工業,鋼鐵工業,manual,2026-05-28,,
2233,宇隆,TWSE,汽車工業,汽車工業,manual,2026-05-28,,
2312,金寶,TWSE,其他電子業,其他電子業,manual,2026-05-28,,
2352,佳世達,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
2353,宏碁,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
2355,敬鵬,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
2356,英業達,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
2375,凱美,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
2376,技嘉,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
2401,凌陽,TWSE,半導體業,半導體業,manual,2026-05-28,,
2420,新巨,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
2425,承啟,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
2438,翔耀,TWSE,光電業,光電業,manual,2026-05-28,,
2453,凌群,TWSE,資訊服務業,資訊服務業,manual,2026-05-28,,
2464,盟立,TWSE,其他電子業,其他電子業,manual,2026-05-28,,
2478,大毅,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
2606,裕民,TWSE,航運業,航運業,manual,2026-05-28,,
2881,富邦金,TWSE,金融保險,金融保險,manual,2026-05-28,,
3014,聯陽,TWSE,半導體業,半導體業,manual,2026-05-28,,
3024,憶聲,TWSE,光電業,光電業,manual,2026-05-28,,
3033,威健,TWSE,電子通路業,電子通路業,manual,2026-05-28,,
3042,晶技,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
3048,益登,TWSE,電子通路業,電子通路業,manual,2026-05-28,,
3059,華晶科,TWSE,光電業,光電業,manual,2026-05-28,,
3149,正達,TWSE,光電業,光電業,manual,2026-05-28,,
3257,虹冠電,TWSE,半導體業,半導體業,manual,2026-05-28,,
3305,昇貿,TWSE,其他電子業,其他電子業,manual,2026-05-28,,
3311,閎暉,TWSE,通信網路業,通信網路業,manual,2026-05-28,,
3416,融程電,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
3504,揚明光,TWSE,光電業,光電業,manual,2026-05-28,,
3617,碩天,TWSE,其他電子業,其他電子業,manual,2026-05-28,,
3694,海華,TWSE,通信網路業,通信網路業,manual,2026-05-28,,
3704,合勤控,TWSE,通信網路業,通信網路業,manual,2026-05-28,,
4555,氣立,TWSE,電機機械,電機機械,manual,2026-05-28,,
4562,穎漢,TWSE,電機機械,電機機械,manual,2026-05-28,,
4571,鈞興-KY,TWSE,電機機械,電機機械,manual,2026-05-28,,
4916,事欣科,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
4952,凌通,TWSE,半導體業,半導體業,manual,2026-05-28,,
5285,界霖,TWSE,半導體業,半導體業,manual,2026-05-28,,
6005,群益證,TWSE,金融保險,金融保險,manual,2026-05-28,,
6116,彩晶,TWSE,光電業,光電業,manual,2026-05-28,,
6155,鈞寶,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
6206,飛捷,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
6209,今國光,TWSE,光電業,光電業,manual,2026-05-28,,
6239,力成,TWSE,半導體業,半導體業,manual,2026-05-28,,
6271,同欣電,TWSE,半導體業,半導體業,manual,2026-05-28,,
6282,康舒,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
6446,藥華藥,TWSE,生技醫療業,生技醫療業,manual,2026-05-28,,
6579,研揚,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
6719,力智,TWSE,半導體業,半導體業,manual,2026-05-28,,
6742,澤米,TWSE,光電業,光電業,manual,2026-05-28,,
6770,力積電,TWSE,半導體業,半導體業,manual,2026-05-28,,
6834,天二科技,TWSE,電子零組件業,電子零組件業,manual,2026-05-28,,
6902,GOGOLOOK,TWSE,數位雲端,數位雲端,manual,2026-05-28,,
7730,暉盛-創,TWSE,半導體業,半導體業,manual,2026-05-28,,
8150,南茂,TWSE,半導體業,半導體業,manual,2026-05-28,,
8163,達方,TWSE,電腦及週邊設備業,電腦及週邊設備業,manual,2026-05-28,,
8926,台汽電,TWSE,油電燃氣業,油電燃氣業,manual,2026-05-28,,
