trade_date,stock_id,stock_name,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,total_institutional_net_buy,foreign_buy_days,investment_trust_buy_days,institutional_buy_ratio,institutional_warning
2026-06-24,6770,力積電,83295842.0,1703000.0,0.0,88899950.0,,,,
2026-06-24,00632R,元大台灣50反1,2022000.0,0.0,0.0,82225781.0,,,,
2026-06-24,2610,華航,61356527.0,177920.0,0.0,69053335.0,,,,
2026-06-24,2618,長榮航,25400553.0,113721.0,0.0,27233352.0,,,,
2026-06-24,1301,台塑,20646302.0,-1000.0,0.0,21808908.0,,,,
2026-06-24,1326,台化,20604701.0,0.0,0.0,21471781.0,,,,
2026-06-24,2834,臺企銀,15294058.0,-38951.0,0.0,15228107.0,,,,
2026-06-24,2002,中鋼,14041692.0,0.0,0.0,14083671.0,,,,
2026-06-24,00680L,元大美債20正2,-723000.0,0.0,0.0,12391563.0,,,,
2026-06-24,8105,凌巨,10154053.0,0.0,0.0,10207684.0,,,,
2026-06-24,00712,復華富時不動產,10131100.0,0.0,0.0,10122299.0,,,,
2026-06-24,00918,大華優利高填息30,2254031.0,0.0,0.0,9420437.0,,,,
2026-06-24,00752,中信中國50,3275000.0,0.0,0.0,8870785.0,,,,
2026-06-24,00673R,期元大S&P原油反1,-327000.0,0.0,0.0,8573054.0,,,,
2026-06-24,4938,和碩,7649206.0,-1237083.0,0.0,6726105.0,,,,
2026-06-24,00676R,富邦臺灣加權反1,13000.0,0.0,0.0,6438362.0,,,,
2026-06-24,9105,泰金寶-DR,5414070.0,0.0,0.0,6389356.0,,,,
2026-06-24,1314,中石化,6079266.0,0.0,0.0,6206266.0,,,,
2026-06-24,00940,元大台灣價值高息,-1377500.0,0.0,0.0,6132182.0,,,,
2026-06-24,009813,貝萊德標普卓越50,1333258.0,0.0,0.0,5346427.0,,,,
2026-06-24,2542,興富發,5257336.0,8450.0,0.0,5265387.0,,,,
2026-06-24,009811,統一美國50,421000.0,0.0,0.0,4961177.0,,,,
2026-06-24,00953B,群益優選非投等債,4704000.0,0.0,0.0,4744000.0,,,,
2026-06-24,009805,新光美國電力基建,2245500.0,0.0,0.0,4568330.0,,,,
2026-06-24,2892,第一金,-12371191.0,16345000.0,0.0,4391397.0,,,,
2026-06-24,8046,南電,3229117.0,577000.0,0.0,4173741.0,,,,
2026-06-24,6213,聯茂,3765337.0,-15000.0,0.0,3944731.0,,,,
2026-06-24,00945B,凱基美國非投等債,4873000.0,0.0,0.0,3856440.0,,,,
2026-06-24,2399,映泰,3792431.0,-11000.0,0.0,3780882.0,,,,
2026-06-24,2369,菱生,4288173.0,0.0,0.0,3772156.0,,,,
