trade_date,stock_id,stock_name,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance
2026-05-18,00400A,主動國泰動能高息,15650.0,-2449.0,2.0,-40.0,,
2026-05-18,00401A,主動摩根台灣鑫收,900.0,-233.0,0.0,0.0,,
2026-05-18,00403A,主動統一升級50,198929.0,15371.0,4096.0,3431.0,,
2026-05-18,0050,元大台灣50,9344.0,271.0,1318.0,-62.0,,
2026-05-18,0051,元大中型100,50.0,0.0,0.0,0.0,,
2026-05-18,0052,富邦科技,9946.0,809.0,119.0,-1.0,,
2026-05-18,0053,元大電子,7.0,0.0,0.0,0.0,,
2026-05-18,0055,元大MSCI金融,69.0,-5.0,0.0,0.0,,
2026-05-18,0056,元大高股息,2920.0,266.0,110.0,-96.0,,
2026-05-18,0057,富邦摩台,0.0,0.0,0.0,0.0,,
2026-05-18,0061,元大寶滬深,137.0,4.0,0.0,0.0,,
2026-05-18,006203,元大MSCI台灣,0.0,0.0,0.0,0.0,,
2026-05-18,006204,永豐臺灣加權,0.0,0.0,0.0,0.0,,
2026-05-18,006205,富邦上証,9.0,0.0,1.0,0.0,,
2026-05-18,006206,元大上證50,12.0,0.0,0.0,0.0,,
2026-05-18,006207,復華滬深,5.0,0.0,0.0,0.0,,
2026-05-18,006208,富邦台50,260.0,40.0,31.0,-1.0,,
2026-05-18,00631L,元大台灣50正2,134576.0,3787.0,14598.0,-631.0,,
2026-05-18,00632R,元大台灣50反1,294291.0,-10612.0,4927.0,-84.0,,
2026-05-18,00633L,富邦上証正2,7431.0,80.0,897.0,-59.0,,
2026-05-18,00634R,富邦上証反1,1866.0,0.0,23.0,0.0,,
2026-05-18,00635U,期元大S&P黃金,4865.0,92.0,270.0,1.0,,
2026-05-18,00636,國泰中國A50,38.0,0.0,0.0,0.0,,
2026-05-18,00637L,元大滬深300正2,81190.0,-461.0,11481.0,-433.0,,
2026-05-18,00638R,元大滬深300反1,920.0,0.0,4.0,0.0,,
2026-05-18,00639,富邦深100,587.0,13.0,7.0,0.0,,
2026-05-18,00640L,富邦日本正2,650.0,-36.0,78.0,0.0,,
2026-05-18,00641R,富邦日本反1,7882.0,42.0,507.0,-10.0,,
2026-05-18,00642U,期元大S&P石油,6637.0,-765.0,3679.0,42.0,,
2026-05-18,00643,群益深証中小,1007.0,0.0,0.0,0.0,,
2026-05-18,00645,富邦日本,29.0,-10.0,0.0,0.0,,
2026-05-18,00646,元大S&P500,141.0,-2.0,2.0,0.0,,
2026-05-18,00647L,元大S&P500正2,26.0,0.0,0.0,0.0,,
2026-05-18,00648R,元大S&P500反1,9501.0,-13.0,155.0,33.0,,
2026-05-18,00650L,復華香港正2,15786.0,-6.0,1587.0,-90.0,,
2026-05-18,00651R,復華香港反1,1960.0,2.0,332.0,2.0,,
2026-05-18,00652,富邦印度,39.0,1.0,0.0,0.0,,
2026-05-18,00653L,富邦印度正2,2806.0,14.0,8.0,1.0,,
2026-05-18,00654R,富邦印度反1,730.0,7.0,71.0,0.0,,
2026-05-18,00655L,國泰中國A50正2,2235.0,19.0,357.0,-4.0,,
2026-05-18,00656R,國泰中國A50反1,232.0,0.0,0.0,0.0,,
2026-05-18,00657,國泰日經225,0.0,0.0,0.0,0.0,,
2026-05-18,00660,元大歐洲50,8.0,0.0,0.0,0.0,,
2026-05-18,00661,元大日經225,12.0,-32.0,0.0,0.0,,
2026-05-18,00662,富邦NASDAQ,936.0,2.0,2.0,0.0,,
2026-05-18,00663L,國泰臺灣加權正2,5630.0,202.0,1994.0,-47.0,,
2026-05-18,00664R,國泰臺灣加權反1,107353.0,-5743.0,426.0,-109.0,,
2026-05-18,00665L,富邦恒生國企正2,77690.0,1718.0,1577.0,-8.0,,
2026-05-18,00666R,富邦恒生國企反1,540.0,-1.0,12.0,0.0,,
2026-05-18,00668,國泰美國道瓊,74.0,0.0,0.0,0.0,,
2026-05-18,00669R,國泰美國道瓊反1,14880.0,1075.0,189.0,12.0,,
2026-05-18,00670L,富邦NASDAQ正2,1385.0,-14.0,230.0,-5.0,,
2026-05-18,00671R,富邦NASDAQ反1,134754.0,-352.0,2627.0,-16.0,,
2026-05-18,00673R,期元大S&P原油反1,111102.0,1997.0,597.0,-29.0,,
2026-05-18,00674R,期元大S&P黃金反1,115.0,0.0,0.0,0.0,,
2026-05-18,00675L,富邦臺灣加權正2,1533.0,14.0,575.0,-35.0,,
2026-05-18,00676R,富邦臺灣加權反1,21548.0,-1711.0,288.0,2.0,,
2026-05-18,00678,群益那斯達克生技,11.0,0.0,0.0,0.0,,
2026-05-18,00680L,元大美債20正2,83530.0,916.0,273.0,75.0,,
2026-05-18,00681R,元大美債20反1,18.0,3.0,0.0,0.0,,
2026-05-18,00682U,期元大美元指數,3.0,-2.0,0.0,0.0,,
2026-05-18,00683L,期元大美元指正2,134.0,-2.0,1.0,0.0,,
2026-05-18,00684R,期元大美元指反1,21.0,0.0,0.0,0.0,,
2026-05-18,00685L,群益臺灣加權正2,375.0,59.0,18.0,0.0,,
2026-05-18,00686R,群益臺灣加權反1,18854.0,-398.0,23.0,0.0,,
2026-05-18,00688L,國泰20年美債正2,37094.0,2425.0,20.0,-1.0,,
2026-05-18,00689R,國泰20年美債反1,1.0,0.0,0.0,0.0,,
2026-05-18,00690,兆豐藍籌30,81.0,9.0,0.0,0.0,,
2026-05-18,00692,富邦公司治理,59.0,0.0,0.0,0.0,,
2026-05-18,00693U,期街口S&P黃豆,3778.0,-348.0,8.0,-1.0,,
2026-05-18,00700,富邦恒生國企,179.0,0.0,0.0,0.0,,
2026-05-18,00701,國泰股利精選30,91.0,0.0,0.0,0.0,,
2026-05-18,00702,國泰標普低波高息,0.0,0.0,0.0,0.0,,
2026-05-18,00703,台新MSCI中國,2.0,0.0,0.0,0.0,,
2026-05-18,00706L,期元大S&P日圓正2,2713.0,412.0,48.0,0.0,,
2026-05-18,00707R,期元大S&P日圓反1,0.0,-20.0,0.0,0.0,,
2026-05-18,00708L,期元大S&P黃金正2,9435.0,246.0,730.0,-21.0,,
2026-05-18,00709,富邦歐洲,2.0,0.0,0.0,0.0,,
2026-05-18,00710B,復華彭博非投等債,13.0,0.0,0.0,0.0,,
2026-05-18,00711B,復華彭博新興債,3.0,0.0,0.0,0.0,,
2026-05-18,00712,復華富時不動產,14732.0,109.0,89.0,20.0,,
2026-05-18,00713,元大台灣高息低波,123.0,0.0,4.0,0.0,,
2026-05-18,00714,群益道瓊美國地產,3.0,-4.0,0.0,0.0,,
2026-05-18,00715L,期街口布蘭特正2,10262.0,486.0,6851.0,141.0,,
2026-05-18,00717,富邦美國特別股,2.0,0.0,0.0,0.0,,
2026-05-18,00728,第一金工業30,0.0,0.0,0.0,0.0,,
2026-05-18,00730,富邦臺灣優質高息,37.0,0.0,0.0,0.0,,
2026-05-18,00731,復華富時高息低波,6.0,0.0,0.0,0.0,,
2026-05-18,00733,富邦臺灣中小,49.0,9.0,0.0,0.0,,
2026-05-18,00735,國泰臺韓科技,1951.0,-46.0,32.0,-24.0,,
2026-05-18,00736,國泰新興市場,0.0,0.0,0.0,0.0,,
2026-05-18,00737,國泰AI機器人,54.0,0.0,0.0,0.0,,
2026-05-18,00738U,期元大道瓊白銀,12006.0,274.0,362.0,-303.0,,
2026-05-18,00739,元大MSCI A股,0.0,0.0,0.0,0.0,,
2026-05-18,00752,中信中國50,612.0,7.0,6.0,0.0,,
2026-05-18,00753L,中信中國50正2,103542.0,3804.0,1213.0,-36.0,,
2026-05-18,00757,統一FANG+,415.0,-34.0,13.0,-1.0,,
2026-05-18,00762,元大全球AI,60.0,4.0,0.0,0.0,,
2026-05-18,00763U,期街口道瓊銅,1973.0,215.0,104.0,-3.0,,
2026-05-18,00770,國泰北美科技,25.0,1.0,0.0,0.0,,
2026-05-18,00771,元大US高息特別股,0.0,0.0,0.0,0.0,,
2026-05-18,00775B,新光投等債15+,0.0,0.0,0.0,0.0,,
2026-05-18,00783,富邦中証500,452.0,0.0,0.0,0.0,,
2026-05-18,00830,國泰費城半導體,2917.0,190.0,272.0,-57.0,,
2026-05-18,00850,元大臺灣ESG永續,33.0,0.0,0.0,0.0,,
2026-05-18,00851,台新全球AI,1.0,0.0,0.0,0.0,,
2026-05-18,00852L,國泰美國道瓊正2,173.0,5.0,78.0,0.0,,
2026-05-18,00861,元大全球未來通訊,12.0,0.0,0.0,0.0,,
2026-05-18,00865B,國泰US短期公債,354.0,6.0,0.0,0.0,,
2026-05-18,00875,國泰網路資安,1.0,0.0,0.0,0.0,,
2026-05-18,00876,元大全球5G,7.0,0.0,0.0,0.0,,
2026-05-18,00878,國泰永續高股息,6892.0,843.0,0.0,0.0,,
2026-05-18,00881,國泰台灣科技龍頭,991.0,11.0,39.0,4.0,,
2026-05-18,00882,中信中國高股息,1950.0,52.0,2.0,-6.0,,
2026-05-18,00885,富邦越南,831.0,-5.0,168.0,8.0,,
2026-05-18,00891,中信關鍵半導體,12165.0,1838.0,0.0,0.0,,
2026-05-18,00892,富邦台灣半導體,618.0,-30.0,0.0,0.0,,
2026-05-18,00893,國泰智能電動車,100.0,2.0,23.0,0.0,,
2026-05-18,00894,中信小資高價30,937.0,9.0,0.0,0.0,,
2026-05-18,00895,富邦未來車,102.0,4.0,12.0,0.0,,
2026-05-18,00896,中信綠能及電動車,353.0,2.0,0.0,0.0,,
2026-05-18,00897,富邦基因免疫生技,17.0,0.0,0.0,0.0,,
2026-05-18,00898,國泰基因免疫革命,23.0,0.0,0.0,0.0,,
2026-05-18,00899,FT潔淨能源,47.0,0.0,0.0,0.0,,
2026-05-18,00900,富邦特選高股息30,270.0,35.0,0.0,0.0,,
2026-05-18,00901,永豐智能車供應鏈,10.0,0.0,0.0,0.0,,
2026-05-18,00902,中信電池及儲能,1194.0,-35.0,40.0,-7.0,,
2026-05-18,00903,富邦元宇宙,8.0,-3.0,0.0,0.0,,
2026-05-18,00904,新光臺灣半導體30,924.0,28.0,1.0,0.0,,
2026-05-18,00905,FT臺灣Smart,172.0,10.0,0.0,0.0,,
2026-05-18,00907,永豐優息存股,29.0,-4.0,0.0,0.0,,
2026-05-18,00908,富邦入息REITs+,0.0,0.0,0.0,0.0,,
2026-05-18,00909,國泰數位支付服務,1348.0,-1.0,64.0,0.0,,
2026-05-18,00910,第一金太空衛星,1577.0,247.0,4.0,0.0,,
2026-05-18,00911,兆豐洲際半導體,137.0,-1.0,0.0,0.0,,
2026-05-18,00912,中信臺灣智慧50,5.0,-4.0,0.0,0.0,,
2026-05-18,00913,兆豐台灣晶圓製造,42.0,-22.0,0.0,0.0,,
