stock_id,stock_name,industry,sub_industry,market_type,source,updated_at
00876,元大全球5G,ETF,全球5G ETF,ETF,manual,2026-05-28
00901,永豐智能車供應鏈,ETF,智能車供應鏈 ETF,ETF,manual,2026-05-28
00910,第一金太空衛星,ETF,太空衛星 ETF,ETF,manual,2026-05-28
00911,兆豐洲際半導體,ETF,全球半導體 ETF,ETF,manual,2026-05-28
00913,兆豐台灣晶圓製造,ETF,晶圓製造 ETF,ETF,manual,2026-05-28
00923,群益台ESG低碳50,ETF,ESG低碳 ETF,ETF,manual,2026-05-28
00927,群益半導體收益,ETF,半導體收益 ETF,ETF,manual,2026-05-28
00930,永豐ESG低碳高息,ETF,ESG低碳高息 ETF,ETF,manual,2026-05-28
00935,野村臺灣新科技50,ETF,臺灣新科技 ETF,ETF,manual,2026-05-28
00991A,主動復華未來50,ETF,主動式臺股 ETF,ETF,manual,2026-05-28
1256,鮮活果汁-KY,食品工業,食品工業,TWSE,manual,2026-05-28
1409,新纖,紡織纖維,紡織纖維,TWSE,manual,2026-05-28
1513,中興電,電機機械,電機機械,TWSE,manual,2026-05-28
1530,亞崴,電機機械,電機機械,TWSE,manual,2026-05-28
1533,車王電,汽車工業,汽車工業,TWSE,manual,2026-05-28
1563,巧新,汽車工業,汽車工業,TWSE,manual,2026-05-28
1568,倉佑,汽車工業,汽車工業,TWSE,manual,2026-05-28
1583,程泰,電機機械,電機機械,TWSE,manual,2026-05-28
1810,和成,玻璃陶瓷,玻璃陶瓷,TWSE,manual,2026-05-28
2030,彰源,鋼鐵工業,鋼鐵工業,TWSE,manual,2026-05-28
2233,宇隆,汽車工業,汽車工業,TWSE,manual,2026-05-28
2312,金寶,其他電子業,其他電子業,TWSE,manual,2026-05-28
2352,佳世達,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
2353,宏碁,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
2355,敬鵬,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
2356,英業達,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
2375,凱美,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
2376,技嘉,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
2401,凌陽,半導體業,半導體業,TWSE,manual,2026-05-28
2420,新巨,電子零組件業,電子零組件業,TWSE,manual,2026-05-28
2425,承啟,電腦及週邊設備業,電腦及週邊設備業,TWSE,manual,2026-05-28
2438,翔耀,光電業,光電業,TWSE,manual,2026-05-28
2453,凌群,資訊服務業,資訊服務業,TWSE,manual,2026-05-28
2464,盟立,其他電子業,其他電子業,TWSE,manual,2026-05-28
