stock_id,stock_name,date,pe_ratio,pb_ratio,dividend_yield,financial_quarter,valuation_source,valuation_source_status
1101,台泥,2026-06-10,,0.76,3.35,,TWSE OpenAPI BWIBBU_ALL,OK
1102,亞泥,2026-06-10,11.54,0.69,6.69,,TWSE OpenAPI BWIBBU_ALL,OK
1103,嘉泥,2026-06-10,16.81,0.49,4.09,,TWSE OpenAPI BWIBBU_ALL,OK
1104,環泥,2026-06-10,11.33,0.8,6.38,,TWSE OpenAPI BWIBBU_ALL,OK
1108,幸福,2026-06-10,6.73,1.01,7.35,,TWSE OpenAPI BWIBBU_ALL,OK
1109,信大,2026-06-10,18.48,0.59,6.16,,TWSE OpenAPI BWIBBU_ALL,OK
1110,東泥,2026-06-10,48.13,0.93,1.95,,TWSE OpenAPI BWIBBU_ALL,OK
1201,味全,2026-06-10,32.63,0.81,1.69,,TWSE OpenAPI BWIBBU_ALL,OK
1203,味王,2026-06-10,24.24,1.52,2.4,,TWSE OpenAPI BWIBBU_ALL,OK
1210,大成,2026-06-10,13.13,1.84,5.42,,TWSE OpenAPI BWIBBU_ALL,OK
1213,大飲,2026-06-10,,0.75,4.17,,TWSE OpenAPI BWIBBU_ALL,OK
1215,卜蜂,2026-06-10,12.72,3.28,5.93,,TWSE OpenAPI BWIBBU_ALL,OK
1216,統一,2026-06-10,20.11,2.92,4.03,,TWSE OpenAPI BWIBBU_ALL,OK
1217,愛之味,2026-06-10,20.56,0.66,2.53,,TWSE OpenAPI BWIBBU_ALL,OK
1218,泰山,2026-06-10,12.56,0.75,6.82,,TWSE OpenAPI BWIBBU_ALL,OK
1219,福壽,2026-06-10,26.6,0.92,4.0,,TWSE OpenAPI BWIBBU_ALL,OK
1220,台榮,2026-06-10,582.5,0.89,1.72,,TWSE OpenAPI BWIBBU_ALL,OK
1225,福懋油,2026-06-10,17.75,1.83,3.29,,TWSE OpenAPI BWIBBU_ALL,OK
1227,佳格,2026-06-10,19.42,1.35,4.73,,TWSE OpenAPI BWIBBU_ALL,OK
1229,聯華,2026-06-10,15.98,1.34,4.81,,TWSE OpenAPI BWIBBU_ALL,OK
1231,聯華食,2026-06-10,19.8,3.44,2.87,,TWSE OpenAPI BWIBBU_ALL,OK
1232,大統益,2026-06-10,17.28,3.81,4.82,,TWSE OpenAPI BWIBBU_ALL,OK
1233,天仁,2026-06-10,33.6,1.79,0.73,,TWSE OpenAPI BWIBBU_ALL,OK
1234,黑松,2026-06-10,20.9,0.77,4.73,,TWSE OpenAPI BWIBBU_ALL,OK
1235,興泰,2026-06-10,,0.6,2.66,,TWSE OpenAPI BWIBBU_ALL,OK
1236,宏亞,2026-06-10,,0.9,6.45,,TWSE OpenAPI BWIBBU_ALL,OK
1256,鮮活果汁-KY,2026-06-10,13.44,1.52,3.71,,TWSE OpenAPI BWIBBU_ALL,OK
1301,台塑,2026-06-10,,0.72,1.13,,TWSE OpenAPI BWIBBU_ALL,OK
1303,南亞,2026-06-10,41.04,1.96,0.84,,TWSE OpenAPI BWIBBU_ALL,OK
1304,台聚,2026-06-10,,0.78,1.18,,TWSE OpenAPI BWIBBU_ALL,OK
1305,華夏,2026-06-10,,0.95,0.8,,TWSE OpenAPI BWIBBU_ALL,OK
1307,三芳,2026-06-10,12.77,1.43,6.29,,TWSE OpenAPI BWIBBU_ALL,OK
