rank,trade_date,stock_id,stock_name,close,total_score,trend_score,momentum_score,fundamental_score,chip_score,risk_score,revenue_yoy,revenue_mom,accumulated_revenue_yoy,fundamental_reason,is_candidate,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-05-12,1256,鮮活果汁-KY,186.5,84.41,100.0,97.64,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,175.07,0.1
2,2026-05-12,3048,益登,46.9,84.25,100.0,100.0,50.0,50.0,95.0,,,,基本面資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,43.15,0.1
3,2026-05-12,8213,志超,41.2,83.52,99.0,95.26,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,38.24,0.1
4,2026-05-12,2364,倫飛,70.9,83.39,100.0,93.57,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,66.69,0.1
5,2026-05-12,2030,彰源,17.95,83.22,99.36,93.64,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,16.66,0.1
6,2026-05-12,6206,飛捷,140.0,83.2,100.0,100.0,50.0,50.0,88.0,,,,基本面資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,129.71,0.1
7,2026-05-12,00947,台新臺灣IC設計,37.49,83.16,100.0,92.65,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,34.75,0.0
8,2026-05-12,6863,永道-KY,118.5,83.05,100.0,99.39,50.0,50.0,88.0,,,,基本面資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,109.59,0.0
9,2026-05-12,3014,聯陽,140.0,82.56,100.0,90.24,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,131.29,0.0
10,2026-05-12,00735,國泰臺韓科技,100.0,82.53,100.0,90.14,50.0,50.0,100.0,,,,基本面資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,93.7,0.0
