rank,trade_date,stock_id,stock_name,close,total_score,original_total_score,multi_factor_score,multi_factor_reason,trend_score,momentum_score,fundamental_score,chip_score,risk_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,revenue_score,monthly_revenue,revenue_yoy,revenue_mom,accumulated_revenue_yoy,revenue_data_month,requested_revenue_month,latest_available_month,revenue_source_status,revenue_3m_trend,revenue_12m_high,revenue_warning,revenue_reason,fundamental_reason,valuation_score,pe_ratio,pb_ratio,dividend_yield,valuation_source,valuation_source_status,valuation_reason,valuation_warning,financial_score,eps,roe,gross_margin,operating_margin,debt_ratio,financial_source,financial_source_status,financial_period,financial_reason,financial_warning,event_score,event_reason,event_risk_level,event_keywords,event_warning,event_blocked,institutional_score,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,total_institutional_net_buy,foreign_buy_days,investment_trust_buy_days,institutional_buy_ratio,institutional_warning,institutional_reason,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance,margin_usage_warning,short_selling_warning,is_attention_stock,attention_reason,is_disposition_stock,disposition_start_date,disposition_end_date,disposition_reason,industry,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_rank,sector_strength_reason,sector_strength_warning,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,intraday_trading_ratio,liquidity_warning,slippage_risk_score,risk_flags,data_source_warning,system_comment,market_intel_status,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,final_market_score,confidence_score,market_risk_score,final_comment,is_candidate,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-05-15,5538,東明-KY,36.25,83.77,83.77,65.6,原始技術總分 83.77；月營收 YoY 正成長；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；流動性偏低，短線進出可能有滑價風險,100.0,99.87,58.0,50.0,92.0,40.0,50.0,35.0,78.0,58.0,1288935.0,11.287870219193763,-0.5979845591348427,4.949998265344679,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,60.0,10.51,0.93,4.14,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,56.0,1.12,,16.4856,9.5964,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-61000.0,0.0,0.0,-61936.0,0,0,,,三大法人籌碼中性,33.0,24.0,0.0,0.0,,,,,False,,False,,,,全市場,0.1637239165329054,0.1381475667189953,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.1731254558692122,0.1110195296065805,227.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,71069.7,2365351.4,410355.0,14716231.0,6.221583397714183,,流動性偏低，短線進出可能有滑價風險,30.0,流動性偏低；滑價風險偏高；相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,36.25,,,10.51,0.93,4.14,11.287870219193763,,無重大事件資料 原始技術總分 83.77；月營收 YoY 正成長；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；流動性偏低，短線進出可能有滑價風險 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,73.0,99.87,50.0,66.72,90.0,33.28,有風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,33.91,0.1
2,2026-05-15,1776,展宇,19.0,83.45,83.45,66.13,原始技術總分 83.45；月營收 YoY 正成長；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,98.06,96.12,58.0,50.0,100.0,40.0,50.0,50.0,78.0,58.0,98792.0,9.00103713838074,-23.109492232495874,1.6893361167286407,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,60.0,38.78,1.32,3.16,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,56.0,0.35,,23.0794,9.8172,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-169000.0,0.0,0.0,-159719.0,0,0,,,三大法人籌碼中性,826.0,202.0,0.0,-4.0,,,,,False,,False,,,,全市場,0.1176470588235294,0.165644171779141,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.1270485981598362,0.1385161346667262,184.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,325534.15,6072173.85,3474091.0,68940578.0,11.353525064174503,,nan,50.0,相對強勢；產業資料不足；融資連增但股價不漲；流動性偏低；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,19.0,,,38.78,1.32,3.16,9.00103713838074,,無重大事件資料 原始技術總分 83.45；月營收 YoY 正成長；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,61.0,96.12,50.0,65.52,90.0,34.48,有風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,17.79,0.1
3,2026-05-15,8926,台汽電,61.1,83.2,83.2,69.84,原始技術總分 83.2；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,100.0,80.0,50.0,88.0,40.0,50.0,92.0,78.0,80.0,6786813.0,532.8072071332866,28.77188987963946,574.6994590229478,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,14.98,2.56,3.94,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,56.0,2.11,,8.5203,8.4525,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,3184107.0,0.0,0.0,3184108.0,1,0,,,三大法人籌碼中性,4694.0,754.0,610.0,234.0,,,,,False,,False,,,,全市場,0.2443991853360487,0.3699551569506727,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.2538007246723556,0.3428271198382579,52.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,5432228.25,291559886.8,17577021.0,1061748598.0,3.641614111094517,,nan,90.0,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,61.1,,,14.98,2.56,3.94,532.8072071332866,,無重大事件資料 原始技術總分 83.2；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,67.0,100.0,50.0,69.0,90.0,31.0,有風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,56.31,0.1
4,2026-05-15,6579,研揚,150.5,83.19,83.19,68.12,原始技術總分 83.19；月營收 YoY 正成長；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,95.78,70.0,50.0,95.0,50.0,50.0,75.0,78.0,70.0,756498.0,6.756813967469074,-20.6267200649677,18.736499359018342,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長；累計營收 YoY 大於 10%,月營收 YoY 正成長；累計營收 YoY 大於 10%,50.0,27.61,2.44,2.49,TWSE OpenAPI BWIBBU_ALL,OK,估值資料中性,,56.0,3.81,,34.8303,8.698,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,280000.0,0.0,0.0,278608.0,1,0,,,三大法人籌碼中性,870.0,-55.0,4.0,0.0,,,,,False,,False,,,,全市場,0.1148148148148149,0.2754237288135592,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.1242163541511217,0.2482956917011444,90.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,633805.2,86076926.8,1445322.0,217796751.0,2.5302570514169425,,nan,80.0,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,150.5,,,27.61,2.44,2.49,6.756813967469074,,無重大事件資料 原始技術總分 83.19；月營收 YoY 正成長；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,95.78,50.0,65.61,90.0,34.39,有風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,138.46,0.1
5,2026-05-15,3059,華晶科,42.2,82.61,82.61,68.97,原始技術總分 82.61；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,90.44,70.0,50.0,100.0,50.0,50.0,92.0,78.0,70.0,770262.0,14.980609219800987,8.809282653930422,10.599823709488456,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長；累計營收 YoY 大於 10%,月營收 YoY 正成長；累計營收 YoY 大於 10%,55.0,34.31,1.3,2.37,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.26,,23.9433,4.9648,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-576666.0,0.0,0.0,-511888.0,0,0,,,三大法人籌碼中性,12236.0,-9.0,28.0,20.0,,,,,False,,False,,,,全市場,0.0724269377382464,0.1374663072776281,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.0818284770745532,0.1103382701652133,230.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,5842839.4,235320894.7,27390420.0,1161243158.0,4.934721837941406,,nan,90.0,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,42.2,,,34.31,1.3,2.37,14.980609219800987,,無重大事件資料 原始技術總分 82.61；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,56.0,90.44,50.0,65.99,90.0,34.01,有風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,38.86,0.1
6,2026-05-15,8163,達方,33.85,82.54,82.54,65.54,原始技術總分 82.54；月營收 YoY 正成長；PE 過高扣分；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,93.02,98.54,58.0,50.0,100.0,50.0,50.0,75.0,78.0,58.0,2591600.0,9.516842926410394,8.870446017633686,9.75171649084759,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,41.0,66.37,0.92,1.48,TWSE OpenAPI BWIBBU_ALL,OK,PE 過高扣分；PB 相對合理,PE 偏高,56.0,0.2,,17.9861,1.3102,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,636543.0,0.0,0.0,797071.0,1,0,,,三大法人籌碼中性,2717.0,-658.0,35.0,22.0,,,,,False,,False,,,,全市場,0.1378151260504201,0.196113074204947,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.1472166653867269,0.1689850370925322,152.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,2138424.15,65554204.35,12865131.0,434433071.0,6.62708174567296,,nan,80.0,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱；PE 偏高,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,33.85,,,66.37,0.92,1.48,9.516842926410394,,無重大事件資料 原始技術總分 82.54；月營收 YoY 正成長；PE 過高扣分；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,36.0,98.54,50.0,64.76,90.0,35.24,有風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,31.55,0.1
7,2026-05-15,8374,羅昇,103.0,82.45,82.45,68.05,原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,100.0,80.0,50.0,83.0,40.0,50.0,92.0,78.0,80.0,590873.0,62.72965373270798,6.72589932735588,37.07159439027231,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,40.0,,5.72,0.19,TWSE OpenAPI BWIBBU_ALL,OK,PB 過高扣分,PE 為空或負值；PB 偏高,56.0,0.43,,24.9686,7.7566,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,641000.0,0.0,0.0,698920.0,1,0,,,三大法人籌碼中性,2425.0,279.0,115.0,18.0,,,,,False,,False,,,,全市場,0.1625282167042889,0.2469733656174335,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.1719297560405957,0.2198453285050187,109.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,1606688.05,146249512.05,7235687.0,736329433.0,5.03474796379671,,nan,90.0,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 為空或負值；PB 偏高；PB 過高,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,103.0,,,,5.72,0.19,62.72965373270798,,無重大事件資料 原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 過高扣分；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,38.0,100.0,50.0,66.1,90.0,33.9,有風險標籤，需降低優先度,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,94.76,0.0
8,2026-05-15,3504,揚明光,77.3,82.45,82.45,66.41,原始技術總分 82.45；月營收 YoY 正成長；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,100.0,58.0,50.0,83.0,40.0,50.0,92.0,78.0,58.0,243545.0,2.2374745503011986,-13.639893479332368,4.529959561571785,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,50.0,,3.12,,TWSE OpenAPI BWIBBU_ALL,OK,,PE 為空或負值,56.0,0.05,,18.2264,-1.3872,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-755800.0,0.0,0.0,-758787.0,0,0,,,三大法人籌碼中性,2786.0,378.0,146.0,87.0,,,,,False,,False,,,,全市場,0.2447665056360708,0.2610114192495922,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.2541680449723776,0.2338833821371774,98.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,2369288.6,167439043.75,10386781.0,793752104.0,4.740543700101011,,nan,90.0,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱；PE 為空或負值,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,77.3,,,,3.12,,2.2374745503011986,,無重大事件資料 原始技術總分 82.45；月營收 YoY 正成長；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,100.0,50.0,67.3,90.0,32.7,有風險標籤，需降低優先度,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,71.12,0.0
9,2026-05-15,3048,益登,56.1,82.45,82.45,69.65,原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,100.0,80.0,50.0,83.0,50.0,50.0,92.0,78.0,80.0,13078408.0,22.18764177547175,4.933232516701499,18.56714728969507,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,50.0,20.18,2.59,1.78,TWSE OpenAPI BWIBBU_ALL,OK,估值資料中性,,56.0,1.22,,3.9858,2.0218,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,3763055.0,0.0,0.0,4425599.0,1,0,,,三大法人籌碼中性,9129.0,-957.0,142.0,59.0,,,,,False,,False,,,,全市場,0.3231132075471699,0.4274809160305344,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.3325147468834767,0.4003528789181196,40.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,9012039.35,413111097.7,24415607.0,1367754287.0,3.3108630937657817,,nan,90.0,相對強勢；產業資料不足；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,56.1,,,20.18,2.59,1.78,22.18764177547175,,無重大事件資料 原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,100.0,50.0,67.3,90.0,32.7,有風險標籤，需降低優先度,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,51.61,0.0
10,2026-05-15,6449,鈺邦,263.0,82.45,82.45,69.05,原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,100.0,100.0,80.0,50.0,83.0,40.0,50.0,92.0,78.0,80.0,463592.0,26.300418193458743,14.74367859335089,25.13635213045782,202604,202605,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,50.0,34.2,4.21,1.6,TWSE OpenAPI BWIBBU_ALL,OK,估值資料中性,,56.0,2.11,,36.794,19.2063,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,248000.0,0.0,0.0,203799.0,1,0,,,三大法人籌碼中性,3657.0,41.0,76.0,44.0,,,,,False,,False,,,,全市場,0.4371584699453552,0.5114942528735633,-0.0094015393363068,0.0271280371124147,-0.0094015393363068,0.0271280371124147,0.446560009281662,0.4843662157611485,28.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,1849260.95,372844671.5,5781321.0,1506539172.0,4.04066166733457,,nan,90.0,相對強勢；產業資料不足；融資連增但股價不漲；缺少產業分類，使用全市場相對強弱,,有風險標籤，需降低優先度,WARNING,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數,263.0,,,34.2,4.21,1.6,26.300418193458743,,無重大事件資料 原始技術總分 82.45；月營收年增率大於 20%；累計營收 YoY 大於 10%；估值資料中性；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,50.0,100.0,50.0,67.3,90.0,32.7,有風險標籤，需降低優先度,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,241.96,0.0
