trade_date,stock_id,stock_name,source_name,source_type,source_date,field_name,field_value,evidence_summary,fallback_used,confidence_impact
2026-06-03,00962,台新AI優息動能,candidate,csv,2026-06-03,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-03,00962,台新AI優息動能,candidate,csv,2026-06-03,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-03,00962,台新AI優息動能,candidate,csv,2026-06-03,margin_change_5d,-35.0,margin_change_5d=-35.0,False,0.8
2026-06-03,00962,台新AI優息動能,candidate,csv,2026-06-03,price_return_5d,0.1319972356599861,price_return_5d=0.1319972356599861,False,0.8
2026-06-03,00962,台新AI優息動能,candidate,csv,2026-06-03,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-03,00962,台新AI優息動能,candidate,csv,2026-06-03,sector_strength_score,68.0,sector_strength_score=68.0,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,margin_change_5d,258.0,margin_change_5d=258.0,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,price_return_5d,0.1169154228855722,price_return_5d=0.1169154228855722,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-03,00961,FT臺灣永續高息,candidate,csv,2026-06-03,sector_strength_warning,缺少產業分類，使用全市場相對強弱,sector_strength_warning=缺少產業分類，使用全市場相對強弱,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,margin_change_5d,660.0,margin_change_5d=660.0,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,price_return_5d,0.1109943977591036,price_return_5d=0.1109943977591036,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,liquidity_score,92.0,liquidity_score=92.0,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-03,00918,大華優利高填息30,candidate,csv,2026-06-03,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-03,00916,國泰全球品牌50,candidate,csv,2026-06-03,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-03,00916,國泰全球品牌50,candidate,csv,2026-06-03,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-03,00916,國泰全球品牌50,candidate,csv,2026-06-03,margin_change_5d,190.0,margin_change_5d=190.0,False,0.8
2026-06-03,00916,國泰全球品牌50,candidate,csv,2026-06-03,price_return_5d,0.1158798283261801,price_return_5d=0.1158798283261801,False,0.8
2026-06-03,00916,國泰全球品牌50,candidate,csv,2026-06-03,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-03,00916,國泰全球品牌50,candidate,csv,2026-06-03,sector_strength_score,68.0,sector_strength_score=68.0,False,0.8
