factor_name,bucket,stock_count,trade_count,avg_forward_return_1d,avg_forward_return_5d,avg_forward_return_20d,win_rate_1d,win_rate_5d,win_rate_20d,avg_return_pct,median_return_pct,total_realized_pnl_after_cost,avg_realized_pnl_after_cost,max_loss_pct,max_gain_pct,benchmark_return_1d,benchmark_return_5d,benchmark_return_20d,alpha_1d,alpha_5d,alpha_20d,conclusion,data_quality_warning,notes
total_score,HIGH,9,0,,,,,,,,,,,,,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
total_score,LOW,9,7,,,,,,,0.073493,0.094779,48890.62,6984.374286,0.000412,0.122975,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
total_score,MID,9,1,,,,,,,-0.087487,-0.087487,-8761.02,-8761.02,-0.087487,-0.087487,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
total_score,MISSING,19,19,,,,,,,-0.016509,-0.070628,-48082.16,-2530.64,-0.151029,0.208411,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,HIGH,9,0,,,,,,,,,,,,,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,LOW,9,7,,,,,,,0.073493,0.094779,48890.62,6984.374286,0.000412,0.122975,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,MID,9,1,,,,,,,-0.087487,-0.087487,-8761.02,-8761.02,-0.087487,-0.087487,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,MISSING,19,19,,,,,,,-0.016509,-0.070628,-48082.16,-2530.64,-0.151029,0.208411,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
final_market_score,HIGH,8,1,,,,,,,-0.087487,-0.087487,-8761.02,-8761.02,-0.087487,-0.087487,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
final_market_score,LOW,9,7,,,,,,,0.073493,0.094779,48890.62,6984.374286,0.000412,0.122975,-0.013278,0.007556,0.083333,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
