candidate_grade,decision,entry_date,exit_date,stock_id,stock_name,entry_price,exit_price,realized_pnl_pct,unrealized_pnl_pct,exit_reason,holding_days,liquidity_score,sector_strength_score,confidence_score,market_regime_score,gap_pct,max_favorable_excursion,max_adverse_excursion,loss_bucket,likely_loss_reason
-,-,2026-05-08,2026-05-11,3528,安馳,91.0,82.4175,-0.098321,0.0,STOP_LOSS,3.0,50.0,50.0,50.0,45.0,,0.0,-0.098321,large_loss,停損出場；市場環境偏弱；資料可信度偏低
B,REDUCE,2026-05-08,2026-05-20,3033,威健,43.85,51.3486,0.085536,0.172178,take_profit_2,9.0,92.0,86.0,90.0,45.0,,0.172178,0.0,profitable_or_flat,目前非虧損交易
-,EXIT,2026-05-08,,2376,技嘉,317.0,,,-0.047319,,9.0,50.0,50.0,50.0,45.0,,0.042587,-0.047319,unrealized_loss,市場環境偏弱；資料可信度偏低
-,-,2026-05-08,2026-05-15,3416,融程電,175.5,162.837,-0.075308,0.0,stop_loss,5.0,50.0,50.0,50.0,45.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-08,2026-05-19,00891,中信關鍵半導體,34.19,31.2687,-0.086723,0.0,stop_loss,8.0,50.0,50.0,50.0,45.0,,0.029248,-0.086723,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-08,2026-05-12,6206,飛捷,119.0,139.86,0.085047,0.10084,TAKE_PROFIT_1,9.0,50.0,50.0,50.0,45.0,,0.176471,0.0,profitable_or_flat,目前非虧損交易
-,-,2026-05-12,2026-05-19,00947,台新臺灣IC設計,38.6987,32.947,-0.151029,0.0,stop_loss,5.0,50.0,50.0,50.0,45.0,,0.0,-0.151029,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-12,2026-05-14,2855,統一證,43.7437,40.1099,-0.087487,0.0,STOP_LOSS,2.0,50.0,50.0,50.0,45.0,,0.0,-0.087487,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-12,2026-05-13,8213,志超,43.8438,38.6613,-0.122451,0.0,STOP_LOSS,1.0,50.0,50.0,50.0,45.0,,0.0,-0.122451,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-12,2026-05-19,5258,虹堡,54.5545,59.94,0.046687,0.063157,take_profit_1,6.0,50.0,50.0,50.0,45.0,,0.099818,0.0,profitable_or_flat,目前非虧損交易
-,-,2026-05-12,2026-05-15,2357,華碩,686.686,640.359,-0.071957,0.0,stop_loss,3.0,50.0,50.0,50.0,45.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,HOLD,2026-05-13,,1256,鮮活果汁-KY,199.199,,,-0.081321,,5.0,50.0,50.0,50.0,45.0,,0.0,-0.081321,large_loss,市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-13,2026-05-15,3048,益登,46.2462,56.0439,0.085869,0.334164,take_profit_2,5.0,50.0,50.0,50.0,45.0,,0.334164,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-14,,8926,台汽電,59.7597,,,0.002348,,4.0,50.0,50.0,50.0,45.0,,0.022428,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-14,,2030,彰源,18.3183,,,-0.058319,,4.0,50.0,50.0,50.0,45.0,,0.0,-0.058319,unrealized_loss,市場環境偏弱；資料可信度偏低
-,EXIT,2026-05-15,,2425,承啟,35.4354,,,-0.078605,,3.0,50.0,50.0,50.0,45.0,,0.0,-0.078605,unrealized_loss,市場環境偏弱；資料可信度偏低
-,-,2026-05-18,2026-05-18,5538,東明-KY,35.2853,33.5664,-0.052326,0.0,stop_loss,0.0,50.0,50.0,50.0,45.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-18,2026-05-19,1776,展宇,18.9189,17.6823,-0.068911,0.0,stop_loss,1.0,50.0,50.0,50.0,45.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,HOLD,2026-05-18,,6579,研揚,149.149,,,-0.000999,,2.0,50.0,50.0,50.0,45.0,,0.0,-0.000999,unrealized_loss,市場環境偏弱；資料可信度偏低
-,HOLD,2026-05-18,,3059,華晶科,41.992,,,0.012098,,2.0,50.0,50.0,50.0,45.0,,0.028767,0.0,profitable_or_flat,目前非虧損交易
D,HOLD,2026-05-18,,8163,達方,34.2342,,,-0.036052,,2.0,92.0,78.0,90.0,45.0,,0.0,-0.036052,unrealized_loss,市場環境偏弱；候選分級偏弱
-,EXIT,2026-05-19,,4562,穎漢,43.7437,,,-0.078724,,1.0,50.0,50.0,50.0,45.0,,0.0,-0.078724,unrealized_loss,市場環境偏弱；資料可信度偏低
D,HOLD,2026-05-20,,6834,天二科技,56.4564,,,0.073395,,0.0,92.0,86.0,90.0,45.0,,0.073395,0.0,profitable_or_flat,目前非虧損交易
-,REDUCE,2026-05-20,2026-05-20,2478,大毅,96.2962,105.3945,0.045164,0.095578,take_profit_1,0.0,50.0,50.0,50.0,45.0,,0.095578,0.0,profitable_or_flat,目前非虧損交易
D,HOLD,2026-05-20,,6902,GOGOLOOK,129.129,,,-0.008743,,0.0,75.0,78.0,90.0,45.0,,0.0,-0.008743,unrealized_loss,市場環境偏弱；候選分級偏弱
-,EXIT,2026-05-20,,4571,鈞興-KY,229.7295,,,-0.083705,,0.0,50.0,50.0,50.0,45.0,,0.0,-0.083705,large_loss,市場環境偏弱；資料可信度偏低
-,-,2026-05-20,2026-05-20,3055,蔚華科,122.122,111.888,-0.102096,0.0,stop_loss,0.0,50.0,50.0,50.0,45.0,,0.0,-0.102096,large_loss,停損出場；市場環境偏弱；資料可信度偏低
