trade_date,total_equity,unrealized_pnl,realized_pnl_after_cost,total_equity_after_cost,today_total_pnl,total_return_pct,data_quality_note
2026-06-12,1016666.75,24867.15,0.0,1016666.75,24867.15,0.01666675,
2026-06-12,1016666.75,24867.15,0.0,1016666.75,24867.15,0.01666675,
2026-06-15,1020424.55,28624.95,0.0,1020424.55,28624.95,0.020424550000000048,
2026-06-16,1026853.65,35054.05,0.0,1026853.65,35054.05,0.026853650000000024,
2026-06-17,1033140.35,41340.75,0.0,1033140.35,41340.75,0.03314034999999998,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-22,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-23,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-24,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-25,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-29,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-30,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-01,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-02,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
